rank,gene,rna_lfc,rna_p,tissue,prot_lfc,prot_p,neglog10p,transcriptomic,proteomic,genomic,score,concordant
126,CYP20A1,0.353741253706136,2.48007257119044e-10,PHG,-0.0546088629356352,0.236218838859026,8.698970004336019,0.353741253706136,0.0546088629356352,8.698970004336019,0.709118086696562,False
127,ICA1,-0.543858683059375,5.88177849701433e-06,TCX,-0.0435799436046111,0.0503987318926918,8.154901959985743,0.543858683059375,0.0435799436046111,8.154901959985743,0.7068759342301942,True
128,GABRA4,-0.64457179659409,2.26534091245307e-06,TCX,0.0419123780434667,0.0341424313812954,8.0,0.64457179659409,0.0419123780434667,8.0,0.7055306427503736,False
129,MADD,-0.159371215200014,0.0014684727750203,PHG,-0.0697137542356685,0.329493626465146,15.522878745280336,0.159371215200014,0.0697137542356685,15.522878745280336,0.7034379671150972,True
130,PITPNC1,0.303066125427257,0.0001117977153581,TCX,-0.115188739780129,0.0614227394698357,7.698970004336019,0.303066125427257,0.115188739780129,7.698970004336019,0.7028400597907323,False
131,GNG7,0.225418492959771,5.64823921890452e-05,TCX,-0.0551803059501824,0.155843225565224,12.0,0.225418492959771,0.0551803059501824,12.0,0.7020926756352766,False
132,SPP1,0.830716863659418,7.20008738940933e-07,PHG,-0.112082848832341,0.522542722885696,5.3979400086720375,0.830716863659418,0.112082848832341,5.3979400086720375,0.6998505231689087,False
133,COL25A1,-1.10606075151029,2.4077796158967603e-19,TCX,1.29697867925623,4.69921157802561e-07,5.221848749616356,1.10606075151029,1.29697867925623,5.221848749616356,0.6988041853512704,False
134,CROCC,0.23751903858835,0.0042327087261028,TCX,0.110386724626994,0.0048679528484221,8.397940008672037,0.23751903858835,0.110386724626994,8.397940008672037,0.6985052316890881,True
135,GPAT3,-0.336239593747339,0.0002857667870493,PCC,-0.034421549886118,0.522695477279347,12.221848749616356,0.336239593747339,0.034421549886118,12.221848749616356,0.6974588938714499,True
136,SLC6A1,-0.539119266826258,7.70374234404361e-07,TCX,0.0205740547044568,0.474139610977455,13.045757490560677,0.539119266826258,0.0205740547044568,13.045757490560677,0.6971599402092674,False
137,SLC4A8,-0.570036486122297,2.31351697494469e-13,TCX,-0.0657997490802897,0.0164212953787592,6.522878745280337,0.570036486122297,0.0657997490802897,6.522878745280337,0.6962630792227205,True
138,DLG2,-0.367068223171694,3.662709329545e-06,TCX,0.0547564143348938,0.257483468199788,8.221848749616356,0.367068223171694,0.0547564143348938,8.221848749616356,0.6958146487294469,False
139,TMEM266,-0.400240889148303,7.70971722360599e-14,PHG,0.0459268909369362,0.328670557877854,8.522878745280337,0.400240889148303,0.0459268909369362,8.522878745280337,0.695216741405082,False
140,LAMTOR4,-0.139616755146339,0.0018208044492719,FP,-0.104780754286186,0.11916753620969,13.397940008672036,0.139616755146339,0.104780754286186,13.397940008672036,0.695067264573991,True
141,LAMA1,0.485050924888333,6.187071459393071e-09,PHG,0.0923631738665864,0.0238822494943913,6.221848749616356,0.485050924888333,0.0923631738665864,6.221848749616356,0.6946188340807175,True
142,TGFB2,0.69635973089518,7.2464976065096e-07,TCX,0.0218924488793329,0.719057232921109,10.045757490560677,0.69635973089518,0.0218924488793329,10.045757490560677,0.6937219730941704,True
143,KCNJ3,-0.42198571318812,1.82884186785878e-06,TCX,0.0268446633248117,0.396104912996594,12.154901959985745,0.42198571318812,0.0268446633248117,12.154901959985745,0.6931240657698057,False
144,SORCS3,-0.690357602923356,2.5736656460277e-09,TCX,-0.0530193251822056,0.0499000142418197,6.698970004336019,0.690357602923356,0.0530193251822056,6.698970004336019,0.6922272047832586,True
145,HSPA6,0.711429923387967,0.114305232252674,TCX,0.0342115325951426,0.835407673811408,8.096910013008056,0.711429923387967,0.0342115325951426,8.096910013008056,0.6913303437967115,True
