gene	log2fc	pval
AIP	0.0358306020570291	0.0261071846231095
AJAP1	0.0524056945271013	0.0693637297140629
AJM1	0.00143238730876534	0.953696628629287
AK1	0.0841772733560677	5.27401827228108e-05
AK2	-0.0299306106872087	0.159340968536361
AK3	0.0153751382232195	0.727439812040292
AK4	0.0176386446473926	0.505940823393807
AK5	-0.00191846471097137	0.964068371958125
AKAP1	0.0096084865446813	0.64735201358073
AKAP10	0.0135485849538622	0.454767676990199
AKAP11	-0.085244962443679	0.512695196770713
AKAP12	0.0592493012706041	0.00400520033969389
AKAP13	0.0175219274032469	0.64020998681403
AKAP17A	0.0452868833964568	0.382619939028557
AKAP19	0.0534752188200411	0.129336831621697
AKAP5	-0.0509573858882245	0.288347297776616
AKAP6	-0.0475240661191278	0.169900293305455
AKAP7	0.0170447647333542	0.758609576721379
AKAP8	0.114971264464993	0.0141033801284142
AKAP8L	0.0625946769075974	0.0598931086594659
AKAP9	0.00945370731549666	0.736610261480779
AKR1A1	0.0331879951614956	0.373284910642552
AKR1B1	0.0454777474658672	0.0116462027424916
AKR1B15	0.063423367957598	0.096842982610187
AKR1C1	0.110095832415781	0.0210813605027958
AKR1C2	0.0890478297376973	0.418545553814466
AKR1C3	0.0448661558401119	0.241813106715521
AKR7A2	0.0117396369728358	0.685923286501755
AKR7A3	-0.0167059045965384	0.750501897780265
AKT1	0.00498218153653572	0.826120853077346
AKT1S1	-0.0507648487851293	0.153746570597291
AKT2	0.0362641901624325	0.357620795366138
AKT3	-0.0251915305683816	0.160056214058317
AKTIP	-0.0334711016404368	0.345399734417997
ALAD	0.0415649247407777	0.184694219290618
ALB	-0.12935435301622	0.120518656903213
ALCAM	-0.0477657590035202	0.164923023679338
ALDH16A1	0.0473711972845205	0.207066594067176
ALDH18A1	0.0156576869457842	0.639908941318427
ALDH1A1	-0.05858896087767	0.500150632094527
ALDH1A3	0.0769610404639334	0.13552489357524
ALDH1B1	-0.00771961133828725	0.953286552114604
ALDH1L1	0.0760945966927932	0.0334967762355101
ALDH1L2	0.0241080788011769	0.725921332083151
ALDH2	-0.0298742829799549	0.376528657836946
ALDH3A2	0.0392826721121592	0.0275439082657851
ALDH4A1	-0.105238939392792	0.0143017457297903
ALDH5A1	-0.0201385763489363	0.547463290414625
ALDH6A1	-0.0391146924885043	0.121273456164966
ALDH7A1	0.122613904549596	0.416763930648195
ALDH9A1	0.0154966976656226	0.677126979063946
ALDOA	0.0253620716653415	0.307933263181176
ALDOB	0.0409085862900151	0.81470225579058
ALDOC	0.0158110721845837	0.583956879615877
