gene	log2fc	pval	tissue
AGBL2	-0.204423778882128	0.177916647371113	TCX
AGBL3	-0.15450900008542	0.0114094727143232	IFG
AGBL4	-0.737546838725103	4.60328995234747e-13	TCX
AGBL4-IT1	-0.485600678338648	1.54400277875547e-06	PHG
AGBL5	-0.119191838437555	6.66565599892411e-05	TCX
AGBL5-IT1	-0.263520728477811	0.0129276452174148	IFG
AGER	0.279231115347924	0.0040066313403512	PHG
AGFG1	0.0657634309369772	0.0212257376399154	FP
AGFG2	0.460798622252316	1.80975327073383e-10	TCX
AGGF1	-0.134218200628105	0.0023892289423896	STG
AGGF1P2	-0.247225478536753	0.0583162647042615	FP
AGGF1P3	-0.222053769152354	0.149799247420805	STG
AGK	-0.174712922134631	7.2537193535845e-05	TCX
AGK-DT	-0.262868180528569	0.0230348758974356	FP
AGKP1	-0.336141363285829	0.394000258493802	IFG
AGL	-0.283529008050559	3.92520998373926e-06	TCX
AGMAT	-0.296079183208883	5.60138445327082e-05	TCX
AGMO	0.503282307202419	0.0013719461541526	TCX
AGO1	0.0570031468690546	0.0943106805306526	FP
AGO2	0.252816814291522	4.01830755482551e-11	PHG
AGO3	0.175355249163904	2.7707137585904897e-11	PHG
AGO4	0.066878738773636	0.0279839480390455	PHG
AGPAT1	-0.152169358109171	1.48936439203134e-10	DLPFC
AGPAT2	-0.171922496890384	0.0004461201058135	PHG
AGPAT3	-0.0751882114559725	0.0103262459773921	PCC
AGPAT4	-0.268874961283259	2.63792531365147e-05	TCX
AGPAT5	0.131448872355878	0.0030546735665046	PHG
AGPS	-0.105498205354148	0.0057712898367914	STG
AGPS-DT	-0.275183920548361	8.61532523865557e-05	TCX
AGRN	0.153207549786925	0.0425409697703273	TCX
AGT	0.299169564335632	0.004620034351535	TCX
AGTPBP1	-0.434196519750022	4.1621497449949e-08	TCX
AGTR2	-0.361459489565004	0.191706828841877	TCX
AGTRAP	0.447544342714933	1.33362279009222e-08	PHG
AHCTF1	0.169926913815114	0.0027806580497472	TCX
AHCTF1P1	-0.30019875657364	0.0016772655875937	PHG
AHCY	-0.0758264652845142	0.0076309800972677	PHG
AHCYL1	0.483772916525645	2.26527956656676e-08	PHG
AHCYL2	0.387361099008412	3.3920840681620703e-09	TCX
AHDC1	0.313338775313269	8.059793373728771e-09	TCX
AHI1	-0.389868723763819	2.5442549894146604e-09	TCX
AHI1-DT	0.142598510984042	0.0458708046856696	PHG
AHNAK	0.792012183963552	3.60077826049961e-17	PHG
AHNAK2	-0.164073762389596	0.203287942977755	TCX
AHR	0.197168701386446	0.001505697326988	TCX
AHSA1	0.325762649540794	0.0049553631177923	TCX
AHSA2P	0.27022211361442	3.40264618778974e-06	PHG
